customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,segment
1,7,11,9084.45,5,1,1,511,Lost Customer
2,128,3,4149.07,1,5,4,154,Lost Customer
3,102,8,9888.23,1,2,1,121,Lost Customer
4,195,2,1047.72,1,5,5,155,Lost Customer
5,16,6,5903.2,4,3,3,433,Lost Customer
6,64,5,5931.6900000000005,2,4,3,243,Lost Customer
7,253,3,995.38,1,5,5,155,Lost Customer
8,22,10,12024.759999999998,4,1,1,411,Lost Customer
9,78,6,5357.549999999999,2,3,3,233,Lost Customer
10,33,6,7067.83,3,3,2,332,Lost Customer
11,46,6,6779.4400000000005,3,3,3,333,Potential Loyalist
12,67,7,6394.21,2,2,3,223,Lost Customer
13,27,7,7734.74,4,2,2,422,Lost Customer
14,47,4,3593.57,3,5,5,355,Lost Customer
15,35,6,4923.34,3,3,4,334,Lost Customer
16,99,5,7763.79,1,4,2,142,Lost Customer
17,0,5,4676.1900000000005,5,4,4,544,Loyal Customer
18,134,7,8878.62,1,2,1,121,Lost Customer
19,102,3,4238.1900000000005,1,5,4,154,Lost Customer
20,31,4,6618.86,4,5,3,453,Lost Customer
21,6,5,7446.21,5,4,2,542,Lost Customer
22,97,8,9546.35,2,2,1,221,At Risk of Churn
23,10,7,8415.53,5,2,2,522,Lost Customer
24,17,8,8078.950000000001,4,2,2,422,Lost Customer
25,5,12,9996.33,5,1,1,511,Lost Customer
26,113,3,3943.12,1,5,4,154,Lost Customer
27,143,7,7679.97,1,2,2,122,Lost Customer
28,83,6,5492.900000000001,2,3,3,233,Lost Customer
29,22,9,10855.57,4,1,1,411,Lost Customer
30,11,3,3736.5199999999995,5,5,5,555,VIP Customer
31,89,4,3110.0,2,5,5,255,Lost Customer
32,138,7,7873.18,1,2,2,122,Lost Customer
33,38,7,9384.23,3,2,1,321,Lost Customer
34,102,9,13133.0,1,1,1,111,Lost Customer
35,92,4,4182.28,2,5,4,254,Lost Customer
